Trial & KK & Rep_Rand_No_Part & Hill_Climb_No_Part & Annealing_No_Part & Rep_Rand_Part & Hill_Climb_Part & Annealing_Part \\ 
66 & 41331 & 12708883 & 1809455 & 32560223 & 19 & 2325 & 259 \\ 
67 & 161090 & 48616168 & 152517976 & 121723360 & 26 & 920 & 92 \\ 
68 & 35398 & 329222594 & 1178181630 & 82510906 & 58 & 636 & 84 \\ 
69 & 1200713 & 513963675 & 28052751 & 34578285 & 563 & 1581 & 11 \\ 
70 & 296513 & 537711671 & 98106813 & 12135783 & 719 & 1169 & 27 \\ 
71 & 43441 & 57898611 & 345634177 & 161934433 & 25 & 13 & 17 \\ 
72 & 98512 & 128432436 & 221208852 & 97031492 & 214 & 228 & 566 \\ 
73 & 45307 & 351311733 & 584018251 & 403218099 & 127 & 119 & 49 \\ 
74 & 432549 & 503190453 & 155004079 & 104027171 & 231 & 119 & 23 \\ 
75 & 46087 & 60458247 & 28517619 & 8708919 & 231 & 1713 & 505 \\ 
76 & 50137 & 134248419 & 1436741785 & 214905619 & 461 & 1935 & 231 \\ 
77 & 133483 & 31198279 & 87093135 & 37958583 & 311 & 1775 & 149 \\ 
78 & 66670 & 32697288 & 304113442 & 148016740 & 12 & 226 & 126 \\ 
79 & 287632 & 217605564 & 254542474 & 180429272 & 40 & 170 & 150 \\ 
80 & 89513 & 11091565 & 25512999 & 142040463 & 95 & 3971 & 305 \\ 
81 & 177 & 41320897 & 335895879 & 359092339 & 103 & 73 & 53 \\ 
82 & 297127 & 67527317 & 1562014079 & 174245787 & 95 & 283 & 413 \\ 
83 & 23440 & 218819004 & 16621518 & 334908018 & 404 & 218 & 40 \\ 
84 & 75116 & 703019356 & 312647132 & 89873994 & 46 & 644 & 132 \\ 
85 & 60032 & 178851880 & 1315946664 & 55292324 & 214 & 926 & 166 \\ 
86 & 513385 & 219919051 & 101749773 & 351138125 & 203 & 127 & 25 \\ 
87 & 271952 & 16768590 & 1234511086 & 110543904 & 516 & 30 & 46 \\ 
88 & 43821 & 822438065 & 42953921 & 43837465 & 39 & 55 & 197 \\ 
89 & 259952 & 350702054 & 290509446 & 161174548 & 140 & 224 & 8 \\ 
90 & 399393 & 374065175 & 97986767 & 21602685 & 195 & 201 & 39 \\ 
91 & 380323 & 35825705 & 405200753 & 66036589 & 95 & 745 & 65 \\ 
92 & 354018 & 64103050 & 155566506 & 440676302 & 90 & 780 & 410 \\ 
93 & 182006 & 28730594 & 394316852 & 21825366 & 116 & 46 & 290 \\ 
94 & 144083 & 14848437 & 105358307 & 663029397 & 137 & 509 & 71 \\ 
95 & 18075 & 3056405 & 835270923 & 642917019 & 207 & 727 & 7 \\ 
96 & 14102 & 162730976 & 464435470 & 12032102 & 990 & 168 & 300 \\ 
97 & 4232 & 50720652 & 101416792 & 111545420 & 24 & 276 & 186 \\ 
98 & 16994 & 17467590 & 529520882 & 5872488 & 14 & 434 & 172 \\ 
99 & 140549 & 510162347 & 188794897 & 171721341 & 301 & 2919 & 95 \\ 
100 & 240949 & 268457317 & 259644117 & 806665137 & 71 & 65 & 347 \\ 
